[Organism]	[Strain]	[Fasta Download Link]
Yarrowia lipolytica CLIB122	CLIB122	http://FungiDB.org/common/downloads/Current_Release/YlipolyticaCLIB122/fasta/data/FungiDB-41_YlipolyticaCLIB122_Genome.fasta
Candida glabrata CBS 138	CBS 138	http://FungiDB.org/common/downloads/Current_Release/CglabrataCBS138/fasta/data/FungiDB-41_CglabrataCBS138_Genome.fasta
Schizosaccharomyces pombe 972h-	972h-	http://FungiDB.org/common/downloads/Current_Release/Spombe972h/fasta/data/FungiDB-41_Spombe972h_Genome.fasta
Candida albicans WO-1	WO-1	http://FungiDB.org/common/downloads/Current_Release/CalbicansWO1/fasta/data/FungiDB-41_CalbicansWO1_Genome.fasta
Cryptococcus deuterogattii R265	R265	http://FungiDB.org/common/downloads/Current_Release/CdeuterogattiiR265/fasta/data/FungiDB-41_CdeuterogattiiR265_Genome.fasta
Clavispora lusitaniae ATCC 42720	ATCC 42720	http://FungiDB.org/common/downloads/Current_Release/ClusitaniaeATCC42720/fasta/data/FungiDB-41_ClusitaniaeATCC42720_Genome.fasta
Aspergillus fumigatus Af293	Af293	http://FungiDB.org/common/downloads/Current_Release/AfumigatusAf293/fasta/data/FungiDB-41_AfumigatusAf293_Genome.fasta
Aspergillus fischeri NRRL 181	NRRL 181	http://FungiDB.org/common/downloads/Current_Release/AfischeriNRRL181/fasta/data/FungiDB-41_AfischeriNRRL181_Genome.fasta
Botrytis cinerea B05.10	B05.10	http://FungiDB.org/common/downloads/Current_Release/BcinereaB05-10/fasta/data/FungiDB-41_BcinereaB05-10_Genome.fasta
Aspergillus flavus NRRL3357	NRRL3357	http://FungiDB.org/common/downloads/Current_Release/AflavusNRRL3357/fasta/data/FungiDB-41_AflavusNRRL3357_Genome.fasta
Fusarium verticillioides 7600	7600	http://FungiDB.org/common/downloads/Current_Release/Fverticillioides7600/fasta/data/FungiDB-41_Fverticillioides7600_Genome.fasta
Zymoseptoria tritici IPO323	IPO323	http://FungiDB.org/common/downloads/Current_Release/ZtriticiIPO323/fasta/data/FungiDB-41_ZtriticiIPO323_Genome.fasta
Uncinocarpus reesii 1704	1704	http://FungiDB.org/common/downloads/Current_Release/Ureesii1704/fasta/data/FungiDB-41_Ureesii1704_Genome.fasta
Histoplasma capsulatum NAm1	NAm1	http://FungiDB.org/common/downloads/Current_Release/HcapsulatumNAm1/fasta/data/FungiDB-41_HcapsulatumNAm1_Genome.fasta
Aspergillus terreus NIH2624	NIH2624	http://FungiDB.org/common/downloads/Current_Release/AterreusNIH2624/fasta/data/FungiDB-41_AterreusNIH2624_Genome.fasta
Aspergillus clavatus NRRL 1	NRRL 1	http://FungiDB.org/common/downloads/Current_Release/AclavatusNRRL1/fasta/data/FungiDB-41_AclavatusNRRL1_Genome.fasta
Neurospora crassa OR74A	OR74A	http://FungiDB.org/common/downloads/Current_Release/NcrassaOR74A/fasta/data/FungiDB-41_NcrassaOR74A_Genome.fasta
Cryptococcus gattii WM276	WM276	http://FungiDB.org/common/downloads/Current_Release/CgattiiWM276/fasta/data/FungiDB-41_CgattiiWM276_Genome.fasta
Aspergillus niger ATCC 1015	ATCC 1015	http://FungiDB.org/common/downloads/Current_Release/AnigerATCC1015/fasta/data/FungiDB-41_AnigerATCC1015_Genome.fasta
Coccidioides immitis H538.4	H538.4	http://FungiDB.org/common/downloads/Current_Release/CimmitisH538-4/fasta/data/FungiDB-41_CimmitisH538-4_Genome.fasta
Schizosaccharomyces japonicus yFS275	yFS275	http://FungiDB.org/common/downloads/Current_Release/SjaponicusyFS275/fasta/data/FungiDB-41_SjaponicusyFS275_Genome.fasta
Batrachochytrium dendrobatidis JEL423	JEL423	http://FungiDB.org/common/downloads/Current_Release/BdendrobatidisJEL423/fasta/data/FungiDB-41_BdendrobatidisJEL423_Genome.fasta
Phytophthora infestans T30-4	T30-4	http://FungiDB.org/common/downloads/Current_Release/PinfestansT30-4/fasta/data/FungiDB-41_PinfestansT30-4_Genome.fasta
Coccidioides immitis RMSCC 2394	RMSCC 2394	http://FungiDB.org/common/downloads/Current_Release/CimmitisRMSCC2394/fasta/data/FungiDB-41_CimmitisRMSCC2394_Genome.fasta
Puccinia graminis f. sp. tritici CRL 75-36-700-3	f. sp. tritici CRL 75-36-700-3	http://FungiDB.org/common/downloads/Current_Release/PgraminisCRL75-36-700-3/fasta/data/FungiDB-41_PgraminisCRL75-36-700-3_Genome.fasta
Aspergillus niger CBS 513.88	CBS 513.88	http://FungiDB.org/common/downloads/Current_Release/AnigerCBS513-88/fasta/data/FungiDB-41_AnigerCBS513-88_Genome.fasta
Malassezia globosa CBS 7966	CBS 7966	http://FungiDB.org/common/downloads/Current_Release/MglobosaCBS7966/fasta/data/FungiDB-41_MglobosaCBS7966_Genome.fasta
Fusarium oxysporum f. sp. lycopersici 4287	f. sp. lycopersici 4287	http://FungiDB.org/common/downloads/Current_Release/Foxysporum4287/fasta/data/FungiDB-41_Foxysporum4287_Genome.fasta
Trichoderma reesei QM6a	QM6a	http://FungiDB.org/common/downloads/Current_Release/TreeseiQM6a/fasta/data/FungiDB-41_TreeseiQM6a_Genome.fasta
Pythium ultimum DAOM BR144	DAOM BR144	http://FungiDB.org/common/downloads/Current_Release/PultimumDAOMBR144/fasta/data/FungiDB-41_PultimumDAOMBR144_Genome.fasta
Talaromyces stipitatus ATCC 10500	ATCC 10500	http://FungiDB.org/common/downloads/Current_Release/TstipitatusATCC10500/fasta/data/FungiDB-41_TstipitatusATCC10500_Genome.fasta
Talaromyces marneffei ATCC 18224	ATCC 18224	http://FungiDB.org/common/downloads/Current_Release/TmarneffeiATCC18224/fasta/data/FungiDB-41_TmarneffeiATCC18224_Genome.fasta
Coccidioides posadasii str. Silveira	str. Silveira	http://FungiDB.org/common/downloads/Current_Release/CposadasiiSilveira/fasta/data/FungiDB-41_CposadasiiSilveira_Genome.fasta
Histoplasma capsulatum G186AR	G186AR	http://FungiDB.org/common/downloads/Current_Release/HcapsulatumG186AR/fasta/data/FungiDB-41_HcapsulatumG186AR_Genome.fasta
Histoplasma capsulatum G217B	G217B	http://FungiDB.org/common/downloads/Current_Release/HcapsulatumG217B/fasta/data/FungiDB-41_HcapsulatumG217B_Genome.fasta
Aspergillus fumigatus A1163	A1163	http://FungiDB.org/common/downloads/Current_Release/AfumigatusA1163/fasta/data/FungiDB-41_AfumigatusA1163_Genome.fasta
Coccidioides posadasii RMSCC 3488	RMSCC 3488	http://FungiDB.org/common/downloads/Current_Release/CposadasiiRMSCC3488/fasta/data/FungiDB-41_CposadasiiRMSCC3488_Genome.fasta
Coccidioides immitis RMSCC 3703	RMSCC 3703	http://FungiDB.org/common/downloads/Current_Release/CimmitisRMSCC3703/fasta/data/FungiDB-41_CimmitisRMSCC3703_Genome.fasta
Coccidioides posadasii RMSCC 2133	RMSCC 2133	http://FungiDB.org/common/downloads/Current_Release/CposadasiiRMSCC2133/fasta/data/FungiDB-41_CposadasiiRMSCC2133_Genome.fasta
Coccidioides posadasii RMSCC 3700	RMSCC 3700	http://FungiDB.org/common/downloads/Current_Release/CposadasiiRMSCC3700/fasta/data/FungiDB-41_CposadasiiRMSCC3700_Genome.fasta
Coccidioides posadasii CPA 0001	CPA 0001	http://FungiDB.org/common/downloads/Current_Release/CposadasiiCPA0001/fasta/data/FungiDB-41_CposadasiiCPA0001_Genome.fasta
Paracoccidioides brasiliensis Pb03	Pb03	http://FungiDB.org/common/downloads/Current_Release/PbrasiliensisPb03/fasta/data/FungiDB-41_PbrasiliensisPb03_Genome.fasta
Schizosaccharomyces octosporus yFS286	yFS286	http://FungiDB.org/common/downloads/Current_Release/SoctosporusyFS286/fasta/data/FungiDB-41_SoctosporusyFS286_Genome.fasta
Coccidioides posadasii RMSCC 1037	RMSCC 1037	http://FungiDB.org/common/downloads/Current_Release/CposadasiiRMSCC1037/fasta/data/FungiDB-41_CposadasiiRMSCC1037_Genome.fasta
Coccidioides posadasii RMSCC 1038	RMSCC 1038	http://FungiDB.org/common/downloads/Current_Release/CposadasiiRMSCC1038/fasta/data/FungiDB-41_CposadasiiRMSCC1038_Genome.fasta
Coccidioides posadasii CPA 0020	CPA 0020	http://FungiDB.org/common/downloads/Current_Release/CposadasiiCPA0020/fasta/data/FungiDB-41_CposadasiiCPA0020_Genome.fasta
Coccidioides posadasii CPA 0066	CPA 0066	http://FungiDB.org/common/downloads/Current_Release/CposadasiiCPA0066/fasta/data/FungiDB-41_CposadasiiCPA0066_Genome.fasta
Penicillium rubens Wisconsin 54-1255	Wisconsin 54-1255	http://FungiDB.org/common/downloads/Current_Release/PrubensWisconsin54-1255/fasta/data/FungiDB-41_PrubensWisconsin54-1255_Genome.fasta
Paracoccidioides lutzii Pb01	Pb01	http://FungiDB.org/common/downloads/Current_Release/PlutziiPb01/fasta/data/FungiDB-41_PlutziiPb01_Genome.fasta
Paracoccidioides brasiliensis Pb18	Pb18	http://FungiDB.org/common/downloads/Current_Release/PbrasiliensisPb18/fasta/data/FungiDB-41_PbrasiliensisPb18_Genome.fasta
Aspergillus oryzae RIB40	RIB40	http://FungiDB.org/common/downloads/Current_Release/AoryzaeRIB40/fasta/data/FungiDB-41_AoryzaeRIB40_Genome.fasta
Neurospora tetrasperma FGSC 2508	FGSC 2508	http://FungiDB.org/common/downloads/Current_Release/NtetraspermaFGSC2508/fasta/data/FungiDB-41_NtetraspermaFGSC2508_Genome.fasta
Neurospora discreta FGSC 8579	FGSC 8579	http://FungiDB.org/common/downloads/Current_Release/NdiscretaFGSC8579/fasta/data/FungiDB-41_NdiscretaFGSC8579_Genome.fasta
Histoplasma capsulatum H88	H88	http://FungiDB.org/common/downloads/Current_Release/HcapsulatumH88/fasta/data/FungiDB-41_HcapsulatumH88_Genome.fasta
Histoplasma capsulatum H143	H143	http://FungiDB.org/common/downloads/Current_Release/HcapsulatumH143/fasta/data/FungiDB-41_HcapsulatumH143_Genome.fasta
Saccharomyces cerevisiae S288c	S288c	http://FungiDB.org/common/downloads/Current_Release/ScerevisiaeS288c/fasta/data/FungiDB-41_ScerevisiaeS288c_Genome.fasta
Hyaloperonospora arabidopsidis Emoy2	Emoy2	http://FungiDB.org/common/downloads/Current_Release/HarabidopsidisEmoy2/fasta/data/FungiDB-41_HarabidopsidisEmoy2_Genome.fasta
Candida parapsilosis CDC317	CDC317	http://FungiDB.org/common/downloads/Current_Release/CparapsilosisCDC317/fasta/data/FungiDB-41_CparapsilosisCDC317_Genome.fasta
Tremella mesenterica DSM 1558	DSM 1558	http://FungiDB.org/common/downloads/Current_Release/TmesentericaDSM1558/fasta/data/FungiDB-41_TmesentericaDSM1558_Genome.fasta
Allomyces macrogynus ATCC 38327	ATCC 38327	http://FungiDB.org/common/downloads/Current_Release/AmacrogynusATCC38327/fasta/data/FungiDB-41_AmacrogynusATCC38327_Genome.fasta
Aspergillus carbonarius ITEM 5010	ITEM 5010	http://FungiDB.org/common/downloads/Current_Release/AcarbonariusITEM5010/fasta/data/FungiDB-41_AcarbonariusITEM5010_Genome.fasta
Spizellomyces punctatus DAOM BR117	DAOM BR117	http://FungiDB.org/common/downloads/Current_Release/SpunctatusDAOMBR117/fasta/data/FungiDB-41_SpunctatusDAOMBR117_Genome.fasta
Fusarium oxysporum Fo47	Fo47	http://FungiDB.org/common/downloads/Current_Release/FoxysporumFo47/fasta/data/FungiDB-41_FoxysporumFo47_Genome.fasta
Sclerotinia sclerotiorum 1980 UF-70	1980 UF-70	http://FungiDB.org/common/downloads/Current_Release/Ssclerotiorum1980UF-70/fasta/data/FungiDB-41_Ssclerotiorum1980UF-70_Genome.fasta
Aspergillus aculeatus ATCC 16872	ATCC 16872	http://FungiDB.org/common/downloads/Current_Release/AaculeatusATCC16872/fasta/data/FungiDB-41_AaculeatusATCC16872_Genome.fasta
Saprolegnia parasitica CBS 223.65	CBS 223.65	http://FungiDB.org/common/downloads/Current_Release/SparasiticaCBS223-65/fasta/data/FungiDB-41_SparasiticaCBS223-65_Genome.fasta
Melampsora larici-populina 98AG31	98AG31	http://FungiDB.org/common/downloads/Current_Release/Mlarici-populina98AG31/fasta/data/FungiDB-41_Mlarici-populina98AG31_Genome.fasta
Mucor circinelloides f. lusitanicus CBS 277.49	f. lusitanicus CBS 277.49	http://FungiDB.org/common/downloads/Current_Release/McircinelloidesCBS277-49/fasta/data/FungiDB-41_McircinelloidesCBS277-49_Genome.fasta
Phytophthora parasitica INRA-310	INRA-310	http://FungiDB.org/common/downloads/Current_Release/PparasiticaINRA-310/fasta/data/FungiDB-41_PparasiticaINRA-310_Genome.fasta
Phycomyces blakesleeanus NRRL 1555(-)	NRRL 1555(-)	http://FungiDB.org/common/downloads/Current_Release/PblakesleeanusNRRL1555/fasta/data/FungiDB-41_PblakesleeanusNRRL1555_Genome.fasta
Phytophthora capsici LT1534	LT1534	http://FungiDB.org/common/downloads/Current_Release/PcapsiciLT1534/fasta/data/FungiDB-41_PcapsiciLT1534_Genome.fasta
Aspergillus brasiliensis CBS 101740	CBS 101740	http://FungiDB.org/common/downloads/Current_Release/AbrasiliensisCBS101740/fasta/data/FungiDB-41_AbrasiliensisCBS101740_Genome.fasta
Aspergillus tubingensis CBS 134.48	CBS 134.48	http://FungiDB.org/common/downloads/Current_Release/AtubingensisCBS134.48/fasta/data/FungiDB-41_AtubingensisCBS134.48_Genome.fasta
Sordaria macrospora k-hell	k-hell	http://FungiDB.org/common/downloads/Current_Release/Smacrosporak-hell/fasta/data/FungiDB-41_Smacrosporak-hell_Genome.fasta
Albugo laibachii Nc14	Nc14	http://FungiDB.org/common/downloads/Current_Release/AlaibachiiNc14/fasta/data/FungiDB-41_AlaibachiiNc14_Genome.fasta
Albugo candida 2VRR	2VRR	http://FungiDB.org/common/downloads/Current_Release/Acandida2VRR/fasta/data/FungiDB-41_Acandida2VRR_Genome.fasta
Sporisorium reilianum SRZ2	SRZ2	http://FungiDB.org/common/downloads/Current_Release/SreilianumSRZ2/fasta/data/FungiDB-41_SreilianumSRZ2_Genome.fasta
Aphanomyces astaci strain APO3	strain APO3	http://FungiDB.org/common/downloads/Current_Release/AastaciAPO3/fasta/data/FungiDB-41_AastaciAPO3_Genome.fasta
Aphanomyces invadans NJM9701	NJM9701	http://FungiDB.org/common/downloads/Current_Release/AinvadansNJM9701/fasta/data/FungiDB-41_AinvadansNJM9701_Genome.fasta
Aspergillus niger strain N402 (ATCC64974)	strain N402 (ATCC64974)	http://FungiDB.org/common/downloads/Current_Release/AnigerN402ATCC64974/fasta/data/FungiDB-41_AnigerN402ATCC64974_Genome.fasta
Candida albicans SC5314_B	SC5314_B	http://FungiDB.org/common/downloads/Current_Release/CalbicansSC5314_B/fasta/data/FungiDB-41_CalbicansSC5314_B_Genome.fasta
Candida auris strain B8441	strain B8441	http://FungiDB.org/common/downloads/Current_Release/CaurisB8441/fasta/data/FungiDB-41_CaurisB8441_Genome.fasta
Cryptococcus neoformans var. grubii KN99	var. grubii KN99	http://FungiDB.org/common/downloads/Current_Release/CneoformansKN99/fasta/data/FungiDB-41_CneoformansKN99_Genome.fasta
Lomentospora prolificans JHH-5317	JHH-5317	http://FungiDB.org/common/downloads/Current_Release/LprolificansJHH5317/fasta/data/FungiDB-41_LprolificansJHH5317_Genome.fasta
Magnaporthe oryzae BR32	BR32	http://FungiDB.org/common/downloads/Current_Release/MoryzaeBR32/fasta/data/FungiDB-41_MoryzaeBR32_Genome.fasta
Phytophthora ramorum strain Pr102	strain Pr102	http://FungiDB.org/common/downloads/Current_Release/PramorumPr-102/fasta/data/FungiDB-41_PramorumPr-102_Genome.fasta
Phytophthora sojae strain P6497	strain P6497	http://FungiDB.org/common/downloads/Current_Release/PsojaeP6497/fasta/data/FungiDB-41_PsojaeP6497_Genome.fasta
Scedosporium apiospermum IHEM 14462	IHEM 14462	http://FungiDB.org/common/downloads/Current_Release/SapiospermumIHEM14462/fasta/data/FungiDB-41_SapiospermumIHEM14462_Genome.fasta
Yarrowia lipolytica CLIB89 (W29)	CLIB89 (W29)	http://FungiDB.org/common/downloads/Current_Release/YlipolyticaCLIB89W29/fasta/data/FungiDB-41_YlipolyticaCLIB89W29_Genome.fasta
