[Organism]	[Strain]	[NCBI taxon ID]
Pythium irregulare DAOM BR486	DAOM BR486	1223557(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1223557)
Pythium iwayamai DAOM BR242034	DAOM BR242034	1223558(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1223558)
Pythium ultimum var. sporangiiferum BR650	var. sporangiiferum BR650	1223559(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1223559)
Phytopythium vexans Pythium vexans DAOM BR484	Pythium vexans DAOM BR484	1223560(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1223560)
Fusarium proliferatum ET1	ET1	1227346(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1227346)
Fusarium oxysporum f. sp. cubense race 1	f. sp. cubense race 1	1229664(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1229664)
Fusarium oxysporum f. sp. cubense race 4	f. sp. cubense race 4	1229665(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1229665)
Fusarium fujikuroi IMI 58289	IMI 58289	1279085(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1279085)
Cryptococcus gattii EJB2	EJB2	1296103(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1296103)
Cryptococcus gattii VGIV IND107	IND107	1296105(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1296105)
Cryptococcus gattii NT-10	NT-10	1296108(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1296108)
Cryptococcus gattii VGIII Cryptococcus gattii CA1873	Cryptococcus gattii CA1873	1296111(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1296111)
Aspergillus campestris IBT 28561	IBT 28561	1392248(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1392248)
Aspergillus steynii IBT 23096	IBT 23096	1392250(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1392250)
Aspergillus novofumigatus IBT 16806	IBT 16806	1392255(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1392255)
Aspergillus ochraceoroseus IBT 24754	IBT 24754	1392256(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1392256)
Sporothrix schenckii 1099-18	1099-18	1397361(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1397361)
Sporothrix brasiliensis 5110	5110	1398154(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1398154)
Cryptococcus neoformans var. neoformans JEC21	var. neoformans JEC21	214684(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=214684)
Coccidioides posadasii C735 delta SOWgp	C735 delta SOWgp	222929(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=222929)
Aspergillus nidulans FGSC A4	FGSC A4	227321(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=227321)
Fusarium graminearum PH-1	PH-1	229533(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=229533)
Cryptococcus neoformans var. grubii H99	var. grubii H99	235443(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=235443)
Candida albicans SC5314	SC5314	237561(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=237561)
Ustilago maydis 521	521	237631(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=237631)
Coprinopsis cinerea okayama7#130	okayama7#130	240176(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=240176)
Magnaporthe oryzae 70-15	70-15	242507(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=242507)
Rhizopus delemar RA 99-880	RA 99-880	246409(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=246409)
Coccidioides immitis RS	RS	246410(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=246410)
Phanerochaete chrysosporium RP-78	RP-78	273507(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=273507)
Cryptococcus neoformans var. neoformans B-3501A	var. neoformans B-3501A	283643(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=283643)
Yarrowia lipolytica CLIB122	CLIB122	284591(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=284591)
Candida glabrata CBS 138	CBS 138	284593(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=284593)
Schizosaccharomyces pombe 972h-	972h-	284812(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=284812)
Candida albicans WO-1	WO-1	294748(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=294748)
Cryptococcus deuterogattii R265	R265	294750(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=294750)
Clavispora lusitaniae ATCC 42720	ATCC 42720	306902(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=306902)
Aspergillus fumigatus Af293	Af293	330879(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=330879)
Aspergillus fischeri NRRL 181	NRRL 181	331117(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=331117)
Botrytis cinerea B05.10	B05.10	332648(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=332648)
Aspergillus flavus NRRL3357	NRRL3357	332952(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=332952)
Fusarium verticillioides 7600	7600	334819(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=334819)
Zymoseptoria tritici IPO323	IPO323	336722(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=336722)
Uncinocarpus reesii 1704	1704	336963(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=336963)
Histoplasma capsulatum NAm1	NAm1	339724(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=339724)
Aspergillus terreus NIH2624	NIH2624	341663(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=341663)
Aspergillus clavatus NRRL 1	NRRL 1	344612(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=344612)
Neurospora crassa OR74A	OR74A	367110(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=367110)
Cryptococcus gattii WM276	WM276	367775(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=367775)
Aspergillus niger ATCC 1015	ATCC 1015	380704(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=380704)
Coccidioides immitis H538.4	H538.4	396776(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=396776)
Schizosaccharomyces japonicus yFS275	yFS275	402676(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=402676)
Batrachochytrium dendrobatidis JEL423	JEL423	403673(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=403673)
Phytophthora infestans T30-4	T30-4	403677(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=403677)
Coccidioides immitis RMSCC 2394	RMSCC 2394	404692(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=404692)
Puccinia graminis f. sp. tritici CRL 75-36-700-3	f. sp. tritici CRL 75-36-700-3	418459(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=418459)
Aspergillus niger CBS 513.88	CBS 513.88	425011(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=425011)
Malassezia globosa CBS 7966	CBS 7966	425265(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=425265)
Fusarium oxysporum f. sp. lycopersici 4287	f. sp. lycopersici 4287	426428(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=426428)
Trichoderma reesei QM6a	QM6a	431241(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=431241)
Pythium ultimum DAOM BR144	DAOM BR144	431595(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=431595)
Talaromyces stipitatus ATCC 10500	ATCC 10500	441959(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=441959)
Talaromyces marneffei ATCC 18224	ATCC 18224	441960(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=441960)
Coccidioides posadasii str. Silveira	str. Silveira	443226(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=443226)
Histoplasma capsulatum G186AR	G186AR	447093(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=447093)
Histoplasma capsulatum G217B	G217B	447094(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=447094)
Aspergillus fumigatus A1163	A1163	451804(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=451804)
Coccidioides posadasii RMSCC 3488	RMSCC 3488	454284(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=454284)
Coccidioides immitis RMSCC 3703	RMSCC 3703	454286(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=454286)
Coccidioides posadasii RMSCC 2133	RMSCC 2133	469470(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=469470)
Coccidioides posadasii RMSCC 3700	RMSCC 3700	469471(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=469471)
Coccidioides posadasii CPA 0001	CPA 0001	469472(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=469472)
Paracoccidioides brasiliensis Pb03	Pb03	482561(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=482561)
Schizosaccharomyces octosporus yFS286	yFS286	483514(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=483514)
Coccidioides posadasii RMSCC 1037	RMSCC 1037	490065(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=490065)
Coccidioides posadasii RMSCC 1038	RMSCC 1038	490066(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=490066)
Coccidioides posadasii CPA 0020	CPA 0020	490068(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=490068)
Coccidioides posadasii CPA 0066	CPA 0066	490069(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=490069)
Penicillium rubens Wisconsin 54-1255	Wisconsin 54-1255	500485(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=500485)
Paracoccidioides lutzii Pb01	Pb01	502779(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=502779)
Paracoccidioides brasiliensis Pb18	Pb18	502780(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=502780)
Aspergillus oryzae RIB40	RIB40	510516(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=510516)
Neurospora tetrasperma FGSC 2508	FGSC 2508	510951(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=510951)
Neurospora discreta FGSC 8579	FGSC 8579	510953(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=510953)
Histoplasma capsulatum H88	H88	544711(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=544711)
Histoplasma capsulatum H143	H143	544712(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=544712)
Saccharomyces cerevisiae S288c	S288c	559292(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=559292)
Hyaloperonospora arabidopsidis Emoy2	Emoy2	559515(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=559515)
Candida parapsilosis CDC317	CDC317	578454(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=578454)
Tremella mesenterica DSM 1558	DSM 1558	578456(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=578456)
Allomyces macrogynus ATCC 38327	ATCC 38327	578462(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=578462)
Aspergillus carbonarius ITEM 5010	ITEM 5010	602072(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=602072)
Spizellomyces punctatus DAOM BR117	DAOM BR117	645134(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=645134)
Fusarium oxysporum Fo47	Fo47	660027(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=660027)
Sclerotinia sclerotiorum 1980 UF-70	1980 UF-70	665079(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=665079)
Aspergillus aculeatus ATCC 16872	ATCC 16872	690307(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=690307)
Saprolegnia parasitica CBS 223.65	CBS 223.65	695850(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=695850)
Melampsora larici-populina 98AG31	98AG31	747676(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=747676)
Mucor circinelloides f. lusitanicus CBS 277.49	f. lusitanicus CBS 277.49	747725(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=747725)
Phytophthora parasitica INRA-310	INRA-310	761204(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=761204)
Phycomyces blakesleeanus NRRL 1555(-)	NRRL 1555(-)	763407(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=763407)
Phytophthora capsici LT1534	LT1534	763924(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=763924)
Aspergillus brasiliensis CBS 101740	CBS 101740	767769(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=767769)
Aspergillus tubingensis CBS 134.48	CBS 134.48	767770(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=767770)
Sordaria macrospora k-hell	k-hell	771870(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=771870)
Albugo laibachii Nc14	Nc14	890382(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=890382)
Albugo candida 2VRR	2VRR	911350(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=911350)
Sporisorium reilianum SRZ2	SRZ2	999809(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=999809)
Aphanomyces astaci strain APO3	strain APO3	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Aphanomyces invadans NJM9701	NJM9701	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Aspergillus niger strain N402 (ATCC64974)	strain N402 (ATCC64974)	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Candida albicans SC5314_B	SC5314_B	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Candida auris strain B8441	strain B8441	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Cryptococcus neoformans var. grubii KN99	var. grubii KN99	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Lomentospora prolificans JHH-5317	JHH-5317	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Magnaporthe oryzae BR32	BR32	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Phytophthora ramorum strain Pr102	strain Pr102	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Phytophthora sojae strain P6497	strain P6497	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Scedosporium apiospermum IHEM 14462	IHEM 14462	(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
Yarrowia lipolytica CLIB89 (W29)	CLIB89 (W29)	755266(http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=)
